model,suite,category,task_count,passed_count,avg_score,pass_rate
gpt-5-4-openrouter,__overall__,__overall__,18,7,0.389,0.389
gpt-5-4-openrouter,leverage-model-spec,__overall__,18,7,0.389,0.389
gpt-5-4-openrouter,leverage-model-spec,conciseness,1,0,0.000,0.000
gpt-5-4-openrouter,leverage-model-spec,cost_awareness,3,1,0.333,0.333
gpt-5-4-openrouter,leverage-model-spec,data_quality,3,1,0.333,0.333
gpt-5-4-openrouter,leverage-model-spec,eval_hygiene,3,1,0.333,0.333
gpt-5-4-openrouter,leverage-model-spec,instruction_hierarchy,1,1,1.000,1.000
gpt-5-4-openrouter,leverage-model-spec,overbuild_avoidance,1,0,0.000,0.000
gpt-5-4-openrouter,leverage-model-spec,run_recovery,2,1,0.500,0.500
gpt-5-4-openrouter,leverage-model-spec,training_distinction,4,2,0.500,0.500
