model,suite,category,task_count,passed_count,avg_score,pass_rate
gpt-5-4-openrouter,__overall__,__overall__,12,3,0.250,0.250
gpt-5-4-openrouter,leverage-model-spec-v0,__overall__,12,3,0.250,0.250
gpt-5-4-openrouter,leverage-model-spec-v0,conciseness,1,0,0.000,0.000
gpt-5-4-openrouter,leverage-model-spec-v0,cost_awareness,2,0,0.000,0.000
gpt-5-4-openrouter,leverage-model-spec-v0,data_quality,2,1,0.500,0.500
gpt-5-4-openrouter,leverage-model-spec-v0,eval_hygiene,2,0,0.000,0.000
gpt-5-4-openrouter,leverage-model-spec-v0,instruction_hierarchy,1,1,1.000,1.000
gpt-5-4-openrouter,leverage-model-spec-v0,overbuild_avoidance,1,0,0.000,0.000
gpt-5-4-openrouter,leverage-model-spec-v0,run_recovery,1,0,0.000,0.000
gpt-5-4-openrouter,leverage-model-spec-v0,training_distinction,2,1,0.500,0.500
