step,train_loss,val_loss,train_ppl,val_ppl
300,4.123656272888184,4.206374645233154,61.784731627057326,67.11279056315524
600,3.7599427700042725,3.9188716411590576,42.94596811086031,50.34360706331215
900,3.5678679943084717,3.7661499977111816,35.44095223496974,43.21337257563604
1200,3.422560930252075,3.6644389629364014,30.647801489063927,39.03423036870678
1500,3.2774417400360107,3.561535596847534,26.50787185560202,35.21723511944466
1800,3.186326742172241,3.4704835414886475,24.19937344614342,32.15228565062477
2100,3.1148550510406494,3.424292802810669,22.530164392918817,30.700925564229774
2400,3.0738039016723633,3.383612871170044,21.624002004506334,29.477075842500792
2700,3.0409810543060303,3.3507728576660156,20.925762477586996,28.52477071462893
2999,3.0035274028778076,3.3550732135772705,20.156511808848308,28.64770151463785
